Wall time,Step,Value
1680759319.237089,0,8776714.0
1680759321.307347,1,4202312.5
1680759323.338831,2,2426137.25
1680759325.382349,3,2501588.0
1680759327.427257,4,2560348.5
1680759329.473602,5,2146666.5
1680759331.515859,6,1995445.625
1680759333.557953,7,1809619.625
1680759335.611576,8,1792874.375
1680759337.660191,9,2090885.625
1680759339.705653,10,2117007.5
1680759341.753147,11,2181605.25
1680759343.797074,12,2185282.0
1680759345.869459,13,2320030.0
1680759347.885394,14,2347529.0
1680759349.934378,15,2418529.25
1680759351.965057,16,2410815.25
1680759354.000005,17,2390543.0
1680759356.050495,18,2532719.5
1680759358.092297,19,2521422.25
1680759360.131597,20,2368271.0
1680759362.181267,21,2321589.0
1680759364.216914,22,2315547.0
1680759366.272818,23,2233440.5
1680759368.294908,24,2125534.5
1680759370.33139,25,2110553.5
1680759372.384526,26,2129430.5
1680759374.39774,27,1920082.625
1680759376.412656,28,1896450.125
1680759378.451651,29,1815637.125
1680759380.503696,30,1835546.25
1680759382.538679,31,1792886.0
1680759384.624809,32,1773649.5
1680759386.641854,33,1743169.0
1680759388.705892,34,1726930.375
1680759390.736755,35,1695397.625
1680759392.750872,36,1656501.25
1680759394.801213,37,1635524.5
1680759396.815904,38,1589273.375
1680759398.892518,39,1560803.375
1680759400.905247,40,1530801.125
1680759402.956431,41,1530808.625
1680759405.010124,42,1483689.5
1680759407.09831,43,1454470.875
1680759409.137041,44,1451835.375
1680759411.164744,45,1389391.75
1680759413.20155,46,1388436.25
1680759415.213059,47,1338684.125
1680759417.236515,48,1305768.875
1680759419.271963,49,1266777.0
1680759421.281152,50,1259898.75
1680759423.343395,51,1235792.25
1680759425.404262,52,1222880.875
1680759427.462861,53,1176902.125
1680759429.546095,54,1147600.875
1680759431.596576,55,1167425.125
1680759433.626762,56,1134037.75
1680759435.640008,57,1105649.125
1680759437.691673,58,1066556.75
1680759439.70453,59,1069889.5
