Wall time,Step,Value
1680744488.164899,0,4.012712478637695
1680744489.849628,1,3.178800106048584
1680744491.501915,2,2.787348747253418
1680744493.154201,3,2.560004472732544
1680744494.833951,4,2.424241542816162
1680744496.500447,5,2.3432505130767822
1680744498.123528,6,2.283143997192383
1680744499.767899,7,2.227118730545044
1680744501.427237,8,2.178755760192871
1680744503.069813,9,2.1246376037597656
1680744504.7115,10,2.071657419204712
1680744506.379067,11,2.0200822353363037
1680744508.025696,12,1.9703058004379272
1680744509.689228,13,1.9184714555740356
1680744511.344832,14,1.8701199293136597
1680744512.975538,15,1.81935453414917
1680744514.645678,16,1.7701367139816284
1680744516.301734,17,1.7246661186218262
1680744517.958621,18,1.6796660423278809
1680744519.601136,19,1.6324576139450073
1680744521.255075,20,1.5896780490875244
1680744522.927917,21,1.5465493202209473
1680744524.646817,22,1.5032273530960083
1680744526.307682,23,1.4584386348724365
1680744527.948329,24,1.415263295173645
1680744529.583055,25,1.3747612237930298
1680744531.236827,26,1.3296786546707153
1680744532.90974,27,1.2841826677322388
1680744534.567168,28,1.241574764251709
1680744536.207779,29,1.198177695274353
1680744537.863577,30,1.1514251232147217
1680744539.505893,31,1.1024518013000488
1680744541.140987,32,1.0571421384811401
1680744542.779819,33,1.0071287155151367
1680744544.438388,34,0.961151123046875
1680744546.070742,35,0.9075965881347656
1680744547.720047,36,0.8606509566307068
1680744549.361393,37,0.8105304837226868
1680744551.044457,38,0.758553683757782
1680744552.694093,39,0.7052690386772156
