Wall time,Step,Value
1680744488.165616,0,12258072.0
1680744489.850298,1,16018153.0
1680744491.502602,2,8420630.0
1680744493.154976,3,4340253.5
1680744494.834639,4,4024973.75
1680744496.501126,5,4148498.25
1680744498.124211,6,4171063.0
1680744499.76868,7,3810298.0
1680744501.427901,8,3518545.25
1680744503.0705,9,3181128.0
1680744504.712176,10,2922267.25
1680744506.379744,11,2670615.25
1680744508.026388,12,2479636.75
1680744509.689921,13,2393547.25
1680744511.345506,14,2174164.75
1680744512.976249,15,2074643.5
1680744514.646344,16,1925481.25
1680744516.302477,17,1767298.125
1680744517.959329,18,1678514.625
1680744519.601817,19,1570358.875
1680744521.255792,20,1474100.375
1680744522.928565,21,1383537.625
1680744524.647509,22,1303869.875
1680744526.308361,23,1199915.0
1680744527.949032,24,1129294.125
1680744529.583742,25,1058923.0
1680744531.237529,26,988574.9375
1680744532.910441,27,907039.3125
1680744534.567818,28,842770.875
1680744536.208429,29,791347.75
1680744537.864253,30,744404.75
1680744539.506558,31,666693.0625
1680744541.141657,32,622664.0
1680744542.780506,33,548456.5
1680744544.439133,34,525989.3125
1680744546.071517,35,456232.71875
1680744547.72074,36,401161.71875
1680744549.36206,37,374607.75
1680744551.04522,38,328981.3125
1680744552.694767,39,301183.40625
